datetime,PM2.5,PM10,O3,CO,NO2
2021-12-10 06:00:00,30,111,2.0,1.23,42.0
2021-12-10 07:00:00,44,108,3.0,1.59,41.0
2021-12-10 08:00:00,52,108,5.0,1.46,44.0
2021-12-10 09:00:00,46,104,9.0,1.46,44.0
2021-12-10 10:00:00,43,94,9.0,1.13,47.0
2021-12-10 11:00:00,39,87,19.0,1.12,47.0
2021-12-10 12:00:00,35,83,22.0,1.08,54.0
2021-12-10 13:00:00,31,86,20.0,1.24,63.0
2021-12-10 14:00:00,29,82,27.0,1.21,60.0
2021-12-10 15:00:00,30,75,10.0,1.71,90.0
2021-12-10 16:00:00,32,80,20.0,1.47,78.0
2021-12-10 17:00:00,34,87,13.0,1.74,77.0
2021-12-10 18:00:00,35,90,11.0,1.95,70.0
2021-12-10 19:00:00,35,85,7.0,1.63,68.0
2021-12-10 20:00:00,32,83,3.0,2.32,71.0
2021-12-10 21:00:00,32,91,2.0,2.44,64.0
2021-12-10 22:00:00,35,97,2.0,2.22,62.0
2021-12-10 23:00:00,38,102,7.0,2.08,58.0
2021-12-11 00:00:00,43,115,2.0,1.76,52.0
2021-12-11 01:00:00,51,126,3.0,1.76,52.0
2021-12-11 02:00:00,52,124,2.0,1.3,49.0
2021-12-11 03:00:00,48,121,9.0,1.22,44.0
2021-12-11 04:00:00,42,110,3.0,1.1,42.0
2021-12-11 05:00:00,37,98,3.0,1.19,40.0
2021-12-11 06:00:00,37,96,5.0,1.67,47.0
2021-12-11 07:00:00,46,100,3.0,1.97,52.0
2021-12-11 08:00:00,55,105,6.0,1.97,52.0
2021-12-11 09:00:00,50,103,6.0,1.42,55.0
2021-12-11 10:00:00,48,97,11.0,1.38,60.0
2021-12-11 11:00:00,42,89,15.0,1.2,60.0
2021-12-11 12:00:00,36,84,26.0,1.06,63.0
2021-12-11 13:00:00,40,82,38.0,1.01,55.0
2021-12-11 14:00:00,41,78,36.0,1.03,66.0
2021-12-11 15:00:00,37,76,4.0,0.97,59.0
2021-12-11 16:00:00,35,76,4.0,1.16,62.0
2021-12-11 17:00:00,32,78,4.0,1.18,66.0
2021-12-11 18:00:00,31,78,4.0,1.92,81.0
2021-12-11 19:00:00,32,82,4.0,2.04,66.0
2021-12-11 20:00:00,32,88,4.0,1.43,56.0
2021-12-11 21:00:00,29,85,4.0,0.87,39.0
2021-12-11 22:00:00,27,77,4.0,0.84,36.0
2021-12-11 23:00:00,28,73,4.0,0.87,35.0
2021-12-12 00:00:00,27,71,4.0,0.89,33.0
2021-12-12 01:00:00,24,74,4.0,0.86,31.0
2021-12-12 02:00:00,25,77,4.0,0.79,30.0
2021-12-12 03:00:00,21,70,4.0,0.9,36.0
2021-12-12 04:00:00,19,68,4.0,0.99,43.0
2021-12-12 05:00:00,20,75,4.0,1.33,48.0
2021-12-12 06:00:00,28,85,4.0,1.16,47.0
2021-12-12 07:00:00,36,97,4.0,1.16,47.0
2021-12-12 08:00:00,39,102,4.0,1.21,41.0
2021-12-12 09:00:00,39,99,4.0,1.35,52.0
2021-12-12 10:00:00,39,95,4.0,1.06,49.0
2021-12-12 11:00:00,39,90,4.0,0.95,51.0
2021-12-12 12:00:00,35,83,4.0,0.92,46.0
2021-12-12 13:00:00,35,79,4.0,0.8,44.0
2021-12-12 14:00:00,37,73,4.0,0.91,46.0
2021-12-12 15:00:00,35,66,4.0,0.85,37.0
2021-12-12 16:00:00,30,62,4.0,0.86,41.0
2021-12-12 17:00:00,27,59,4.0,1.12,40.0
2021-12-12 18:00:00,21,58,4.0,1.2,42.0
